Index 1: YOUR=pb | THEIR=pb
Index 2: YOUR=pb | THEIR=pb
Index 3: YOUR=pb | THEIR=pb
Index 4: YOUR=pb | THEIR=pb
Index 5: YOUR=rb | THEIR=rb
Index 6: YOUR=pb | THEIR=pb
Index 7: YOUR=pb | THEIR=pb
Index 8: YOUR=rb | THEIR=rb
Index 9: YOUR=rb | THEIR=rb
Index 10: YOUR=pb | THEIR=pb
Index 11: YOUR=ra | THEIR=ra
Index 12: YOUR=ra | THEIR=ra
Index 13: YOUR=pb | THEIR=pb
Index 14: YOUR=rrb | THEIR=rrb
Index 15: YOUR=rrb | THEIR=rrb
Index 16: YOUR=rrb | THEIR=rrb
Index 17: YOUR=pb | THEIR=pb
Index 18: YOUR=rrb | THEIR=rrb
Index 19: YOUR=pb | THEIR=pb
Index 20: YOUR=rra | THEIR=rra
Index 21: YOUR=rb | THEIR=rb
Index 22: YOUR=pb | THEIR=pb
Index 23: YOUR=rb | THEIR=rb
Index 24: YOUR=rb | THEIR=rb
Index 25: YOUR=rb | THEIR=rb
Index 26: YOUR=pb | THEIR=pb
Index 27: YOUR=ra | THEIR=ra
Index 28: YOUR=pb | THEIR=pb
Index 29: YOUR=ra | THEIR=ra
Index 30: YOUR=rrb | THEIR=rrb
Index 31: YOUR=pb | THEIR=pb
Index 32: YOUR=rra | THEIR=rr
Index 33: YOUR=rra | THEIR=ra
Index 34: YOUR=rra | THEIR=ra
Index 35: YOUR=rb | THEIR=ra
Index 36: YOUR=rb | THEIR=ra
Index 37: YOUR=pb | THEIR=pb
Index 38: YOUR=rb | THEIR=rr
Index 39: YOUR=rb | THEIR=rr
Index 40: YOUR=rb | THEIR=rb
Index 41: YOUR=rb | THEIR=rb
Index 42: YOUR=rb | THEIR=pb
Index 43: YOUR=rb | THEIR=rr
Index 44: YOUR=pb | THEIR=ra
Index 45: YOUR=rrb | THEIR=pb
Index 46: YOUR=pb | THEIR=rr
Index 47: YOUR=ra | THEIR=rb
Index 48: YOUR=pb | THEIR=rb
Index 49: YOUR=rb | THEIR=pb
Index 50: YOUR=rb | THEIR=rr
Index 51: YOUR=rb | THEIR=rr
Index 52: YOUR=rb | THEIR=pb
Index 53: YOUR=rb | THEIR=rra
Index 54: YOUR=rb | THEIR=rra
Index 55: YOUR=pb | THEIR=rb
Index 56: YOUR=rb | THEIR=rb
Index 57: YOUR=pb | THEIR=pb
Index 58: YOUR=rrb | THEIR=rra
Index 59: YOUR=rrb | THEIR=rb
Index 60: YOUR=pb | THEIR=rb
Index 61: YOUR=rra | THEIR=pb
Index 62: YOUR=rb | THEIR=rra
Index 63: YOUR=pb | THEIR=rra
Index 64: YOUR=rra | THEIR=pb
Index 65: YOUR=rb | THEIR=rrr
Index 66: YOUR=rb | THEIR=rra
Index 67: YOUR=pb | THEIR=rra
Index 68: YOUR=ra | THEIR=pb
Index 69: YOUR=ra | THEIR=rrb
Index 70: YOUR=ra | THEIR=rrb
Index 71: YOUR=ra | THEIR=rrb
Index 72: YOUR=pb | THEIR=rrb
Index 73: YOUR=rr | THEIR=pb
Index 74: YOUR=rr | THEIR=rrr
Index 75: YOUR=rb | THEIR=rra
Index 76: YOUR=pb | THEIR=rra
Index 77: YOUR=ra | THEIR=pb
Index 78: YOUR=rrb | THEIR=rra
Index 79: YOUR=rrb | THEIR=rra
Index 80: YOUR=rrb | THEIR=rb
Index 81: YOUR=rrb | THEIR=rb
Index 82: YOUR=rrb | THEIR=pb
Index 83: YOUR=rrb | THEIR=rra
Index 84: YOUR=pb | THEIR=rb
Index 85: YOUR=ra | THEIR=rb
Index 86: YOUR=rrb | THEIR=rb
Index 87: YOUR=rrb | THEIR=rb
Index 88: YOUR=pb | THEIR=pb
Index 89: YOUR=rrr | THEIR=rb
Index 90: YOUR=rrr | THEIR=rb
Index 91: YOUR=pb | THEIR=rb
Index 92: YOUR=rrb | THEIR=rb
Index 93: YOUR=rrb | THEIR=pb
Index 94: YOUR=rrb | THEIR=rb
Index 95: YOUR=pb | THEIR=rb
Index 96: YOUR=rra | THEIR=rb
Index 97: YOUR=rb | THEIR=pb
Index 98: YOUR=pb | THEIR=rb
Index 99: YOUR=rra | THEIR=rb
Index 100: YOUR=rra | THEIR=pb
Index 101: YOUR=pb | THEIR=rb
Index 102: YOUR=rr | THEIR=rb
Index 103: YOUR=rr | THEIR=pb
Index 104: YOUR=rr | THEIR=rb
Index 105: YOUR=pb | THEIR=rb
Index 106: YOUR=ra | THEIR=rb
Index 107: YOUR=rrb | THEIR=pb
Index 108: YOUR=pb | THEIR=rr
Index 109: YOUR=rrr | THEIR=pb
Index 110: YOUR=rrr | THEIR=rb
Index 111: YOUR=rrb | THEIR=rb
Index 112: YOUR=rrb | THEIR=pb
Index 113: YOUR=rrb | THEIR=ra
Index 114: YOUR=rrb | THEIR=rrb
Index 115: YOUR=rrb | THEIR=rrb
Index 116: YOUR=rrb | THEIR=pb
Index 117: YOUR=rrb | THEIR=rrr
